ticker,name,sector
4716.T,日本オラクル,Information Technology
4732.T,ユー・エス・エス,Consumer Discretionary
4733.T,オービックビジネスコンサルタント,Information Technology
4751.T,サイバーエージェント,Communication Services
4755.T,楽天グループ,Consumer Discretionary
4768.T,大塚商会,Information Technology
4887.T,サワイグループホールディングス,Health Care
4901.T,富士フイルムホールディングス,Materials
4902.T,コニカミノルタ,Information Technology
4911.T,資生堂,Consumer Staples
4912.T,ライオン,Consumer Staples
4922.T,コーセーホールディングス,Consumer Staples
4927.T,ポーラ・オルビスホールディングス,Consumer Staples
4967.T,小林製薬,Consumer Staples
4980.T,デクセリアルズ,Materials
5016.T,JX金属,Materials
5019.T,出光興産,Energy
5020.T,ENEOSホールディングス,Energy
5021.T,コスモエネルギーホールディングス,Energy
5076.T,インフロニア・ホールディングス,Industrials
5101.T,横浜ゴム,Consumer Discretionary
5105.T,TOYO TIRE,Consumer Discretionary
5108.T,ブリヂストン,Consumer Discretionary
5110.T,住友ゴム工業,Consumer Discretionary
5201.T,AGC,Materials
5214.T,日本電気硝子,Materials
5232.T,住友大阪セメント,Materials
5233.T,太平洋セメント,Materials
5301.T,東海カーボン,Materials
5332.T,TOTO,Materials
5333.T,NGK,Materials
5334.T,日本特殊陶業,Materials
5344.T,MARUWA,Materials
5393.T,ニチアス,Materials
5401.T,日本製鉄,Materials
5406.T,神戸製鋼所,Materials
5411.T,JFEホールディングス,Materials
5444.T,大和工業,Materials
5463.T,丸一鋼管,Materials
5471.T,大同特殊鋼,Materials
5631.T,日本製鋼所,Industrials
5706.T,三井金属,Materials
5711.T,三菱マテリアル,Materials
5713.T,住友金属鉱山,Materials
5714.T,DOWAホールディングス,Materials
5801.T,古河電気工業,Materials
5802.T,住友電気工業,Materials
5803.T,フジクラ,Materials
5830.T,いよぎんホールディングス,Financials
5831.T,しずおかフィナンシャルグループ,Financials
5832.T,ちゅうぎんフィナンシャルグループ,Financials
5838.T,楽天銀行,Financials
5844.T,京都フィナンシャルグループ,Financials
5901.T,東洋製罐グループホールディングス,Materials
5929.T,三和ホールディングス,Industrials
5938.T,LIXIL,Industrials
5947.T,リンナイ,Industrials
5991.T,日本発條,Industrials
6005.T,三浦工業,Industrials
6098.T,リクルートホールディングス,Industrials
6113.T,アマダ,Industrials
6134.T,FUJI,Industrials
6136.T,オーエスジー,Industrials
6141.T,DMG森精機,Industrials
6146.T,ディスコ,Industrials
6178.T,日本郵政,Industrials
6268.T,ナブテスコ,Industrials
6269.T,三井海洋開発,Industrials
6273.T,SMC,Industrials
6301.T,小松製作所,Industrials
6302.T,住友重機械工業,Industrials
6305.T,日立建機,Industrials
6323.T,ローツェ,Industrials
6326.T,クボタ,Industrials
6361.T,荏原製作所,Industrials
6367.T,ダイキン工業,Industrials
6368.T,オルガノ,Industrials
6370.T,栗田工業,Industrials
6383.T,ダイフク,Industrials
6417.T,SANKYO,Industrials
6436.T,アマノ,Industrials
6448.T,ブラザー工業,Information Technology
6457.T,グローリー,Industrials
6460.T,セガサミーホールディングス,Industrials
6465.T,ホシザキ,Industrials
6471.T,日本精工,Industrials
6472.T,NTN,Industrials
6473.T,ジェイテクト,Industrials
6479.T,ミネベアミツミ,Information Technology
6481.T,THK,Industrials
6501.T,日立製作所,Industrials
6503.T,三菱電機,Industrials
6504.T,富士電機,Industrials
6506.T,安川電機,Industrials
6525.T,KOKUSAI ELECTRIC,Information Technology
6526.T,ソシオネクスト,Information Technology
6532.T,ベイカレント,Industrials
6544.T,ジャパンエレベーターサービスホールディングス,Industrials
6586.T,マキタ,Industrials
6592.T,マブチモーター,Information Technology
6632.T,JVCケンウッド,Information Technology
6645.T,オムロン,Information Technology
6674.T,ジーエス・ユアサ コーポレーション,Information Technology
6701.T,日本電気,Information Technology
6702.T,富士通,Information Technology
6707.T,サンケン電気,Information Technology
6723.T,ルネサスエレクトロニクス,Information Technology
6724.T,セイコーエプソン,Information Technology
6728.T,アルバック,Information Technology
6752.T,パナソニック ホールディングス,Consumer Discretionary
6753.T,シャープ,Information Technology
6754.T,アンリツ,Information Technology
6758.T,ソニーグループ,Consumer Discretionary
6762.T,TDK,Information Technology
6770.T,アルプスアルパイン,Information Technology
6806.T,ヒロセ電機,Information Technology
6841.T,横河電機,Industrials
6845.T,アズビル,Information Technology
6849.T,日本光電工業,Health Care
6856.T,堀場製作所,Information Technology
6857.T,アドバンテスト,Information Technology
6861.T,キーエンス,Information Technology
6869.T,シスメックス,Information Technology
6902.T,デンソー,Consumer Discretionary
6920.T,レーザーテック,Information Technology
6923.T,スタンレー電気,Information Technology
6925.T,ウシオ電機,Information Technology
6951.T,日本電子,Information Technology
6952.T,カシオ計算機,Information Technology
6954.T,ファナック,Information Technology
6963.T,ローム,Information Technology
6965.T,浜松ホトニクス,Information Technology
6971.T,京セラ,Information Technology
6976.T,太陽誘電,Information Technology
6981.T,村田製作所,Information Technology
6988.T,日東電工,Materials
7003.T,三井E&S,Industrials
7011.T,三菱重工業,Industrials
7012.T,川崎重工業,Consumer Discretionary
7013.T,IHI,Industrials
7164.T,全国保証,Financials
7167.T,めぶきフィナンシャルグループ,Financials
7180.T,九州フィナンシャルグループ,Financials
7181.T,かんぽ生命保険,Financials
7182.T,ゆうちょ銀行,Financials
7186.T,横浜フィナンシャルグループ,Financials
7189.T,西日本フィナンシャルホールディングス,Financials
7201.T,日産自動車,Consumer Discretionary
7202.T,いすゞ自動車,Consumer Discretionary
7203.T,トヨタ自動車,Consumer Discretionary
7211.T,三菱自動車工業,Consumer Discretionary
7240.T,NOK,Consumer Discretionary
7259.T,アイシン,Consumer Discretionary
7261.T,マツダ,Consumer Discretionary
7267.T,本田技研工業,Consumer Discretionary
7269.T,スズキ,Consumer Discretionary
7270.T,SUBARU,Consumer Discretionary
7272.T,ヤマハ発動機,Consumer Discretionary
7276.T,小糸製作所,Information Technology
7282.T,豊田合成,Consumer Discretionary
7309.T,シマノ,Consumer Discretionary
7313.T,テイ・エス テック,Consumer Discretionary
7337.T,ひろぎんホールディングス,Financials
7453.T,良品計画,Consumer Discretionary
7458.T,第一興商,Industrials
7459.T,メディパルホールディングス,Health Care
7476.T,アズワン,Industrials
7532.T,パン・パシフィック・インターナショナルホールディングス,Consumer Discretionary
7550.T,ゼンショーホールディングス,Consumer Discretionary
7616.T,コロワイド,Consumer Discretionary
7649.T,スギホールディングス,Consumer Discretionary
7701.T,島津製作所,Information Technology
7729.T,東京精密,Information Technology
7731.T,ニコン,Information Technology
7733.T,オリンパス,Health Care
7735.T,SCREENホールディングス,Information Technology
7741.T,HOYA,Health Care
7747.T,朝日インテック,Health Care
7751.T,キヤノン,Information Technology
7752.T,リコー,Information Technology
7832.T,バンダイナムコホールディングス,Communication Services
7846.T,パイロットコーポレーション,Consumer Discretionary
7867.T,タカラトミー,Consumer Discretionary
7911.T,TOPPANホールディングス,Consumer Discretionary
7912.T,大日本印刷,Consumer Discretionary
7936.T,アシックス,Consumer Discretionary
7951.T,ヤマハ,Consumer Discretionary
7956.T,ピジョン,Consumer Discretionary
7974.T,任天堂,Communication Services
7984.T,コクヨ,Consumer Discretionary
7988.T,ニフコ,Materials
8001.T,伊藤忠商事,Industrials
8002.T,丸紅,Industrials
8012.T,長瀬産業,Industrials
8015.T,豊田通商,Industrials
8020.T,兼松,Industrials
8031.T,三井物産,Industrials
8035.T,東京エレクトロン,Information Technology
8053.T,住友商事,Industrials
8056.T,BIPROGY,Information Technology
8058.T,三菱商事,Industrials
8060.T,キヤノンマーケティングジャパン,Industrials
8086.T,ニプロ,Information Technology
8088.T,岩谷産業,Industrials
8111.T,ゴールドウイン,Consumer Discretionary
8113.T,ユニ・チャーム,Materials
8129.T,東邦ホールディングス,Health Care
8136.T,サンリオ,Industrials
8174.T,日本瓦斯,Consumer Discretionary
8227.T,しまむら,Consumer Discretionary
8233.T,高島屋,Consumer Discretionary
8242.T,エイチ・ツー・オー リテイリング,Consumer Discretionary
8252.T,丸井グループ,Consumer Discretionary
8253.T,クレディセゾン,Financials
8267.T,イオン,Consumer Staples
8282.T,ケーズホールディングス,Consumer Discretionary
8303.T,SBI新生銀行,Financials
8304.T,あおぞら銀行,Financials
8306.T,三菱UFJフィナンシャル・グループ,Financials
8308.T,りそなホールディングス,Financials
8309.T,三井住友トラストグループ,Financials
8316.T,三井住友フィナンシャルグループ,Financials
8331.T,千葉銀行,Financials
8334.T,群馬銀行,Financials
8341.T,七十七銀行,Financials
8354.T,ふくおかフィナンシャルグループ,Financials
8359.T,八十二長野銀行,Financials
8377.T,ほくほくフィナンシャルグループ,Financials
8410.T,セブン銀行,Financials
8411.T,みずほフィナンシャルグループ,Financials
8418.T,山口フィナンシャルグループ,Financials
8424.T,芙蓉総合リース,Financials
8439.T,東京センチュリー,Financials
8473.T,SBIホールディングス,Financials
8570.T,イオンフィナンシャルサービス,Financials
8572.T,アコム,Financials
8591.T,オリックス,Financials
8593.T,三菱HCキャピタル,Financials
8595.T,ジャフコ グループ,Financials
8601.T,大和証券グループ本社,Financials
8604.T,野村ホールディングス,Financials
8630.T,SOMPOホールディングス,Financials
8697.T,日本取引所グループ,Financials
8725.T,MS&ADインシュアランスグループホールディングス,Financials
8729.T,ソニーフィナンシャルグループ,Financials
8750.T,第一ライフグループ,Financials
8766.T,東京海上ホールディングス,Financials
8795.T,T&Dホールディングス,Financials
8801.T,三井不動産,Real Estate
8802.T,三菱地所,Real Estate
8804.T,東京建物,Real Estate
8830.T,住友不動産,Real Estate
8876.T,リログループ,Industrials
9001.T,東武鉄道,Industrials
9003.T,相鉄ホールディングス,Industrials
9005.T,東急,Industrials
9006.T,京浜急行電鉄,Industrials
9007.T,小田急電鉄,Industrials
9008.T,京王電鉄,Industrials
9009.T,京成電鉄,Industrials
9020.T,東日本旅客鉄道,Industrials
9021.T,西日本旅客鉄道,Industrials
9022.T,東海旅客鉄道,Industrials
9023.T,東京地下鉄,Industrials
9024.T,西武ホールディングス,Industrials
9031.T,西日本鉄道,Industrials
9041.T,近鉄グループホールディングス,Industrials
9042.T,阪急阪神ホールディングス,Industrials
9044.T,NANKAI,Industrials
9045.T,京阪ホールディングス,Industrials
9048.T,名古屋鉄道,Industrials
9064.T,ヤマトホールディングス,Industrials
9065.T,山九,Industrials
9069.T,センコーグループホールディングス,Industrials
9072.T,ニッコンホールディングス,Industrials
9076.T,セイノーホールディングス,Industrials
9101.T,日本郵船,Industrials
9104.T,商船三井,Industrials
9107.T,川崎汽船,Industrials
9142.T,九州旅客鉄道,Industrials
9143.T,SGホールディングス,Industrials
9147.T,NIPPON EXPRESSホールディングス,Industrials
9201.T,日本航空,Industrials
9202.T,ANAホールディングス,Industrials
9301.T,三菱倉庫,Industrials
9302.T,三井倉庫ホールディングス,Industrials
9364.T,上組,Industrials
9401.T,TBSホールディングス,Communication Services
9404.T,日本テレビホールディングス,Communication Services
9432.T,NTT,Communication Services
9433.T,KDDI,Communication Services
9434.T,ソフトバンク,Communication Services
9435.T,光通信,Information Technology
9449.T,GMOインターネットグループ,Information Technology
9468.T,KADOKAWA,Information Technology
9501.T,東京電力ホールディングス,Utilities
9502.T,中部電力,Utilities
9503.T,関西電力,Utilities
9504.T,中国電力,Utilities
9505.T,北陸電力,Utilities
9506.T,東北電力,Utilities
9507.T,四国電力,Utilities
9508.T,九州電力,Utilities
9509.T,北海道電力,Utilities
9513.T,電源開発,Utilities
9531.T,東京瓦斯,Utilities
9532.T,大阪瓦斯,Utilities
9533.T,東邦瓦斯,Utilities
9602.T,東宝,Communication Services
9616.T,共立メンテナンス,Industrials
9627.T,アインホールディングス,Consumer Discretionary
9684.T,スクウェア・エニックス・ホールディングス,Communication Services
9697.T,カプコン,Communication Services
9706.T,日本空港ビルデング,Real Estate
9735.T,セコム,Industrials
9744.T,メイテックグループホールディングス,Information Technology
9759.T,NSD,Information Technology
9766.T,コナミグループ,Communication Services
9831.T,ヤマダホールディングス,Consumer Discretionary
9843.T,ニトリホールディングス,Consumer Discretionary
9861.T,吉野家ホールディングス,Consumer Discretionary
9934.T,因幡電機産業,Industrials
9962.T,ミスミグループ本社,Industrials
9983.T,ファーストリテイリング,Consumer Discretionary
9984.T,ソフトバンクグループ,Information Technology
9987.T,スズケン,Health Care
9989.T,サンドラッグ,Consumer Staples
